project_name,workflow_file,failure_file,error_line,error_message,failure_type,target_os,branch,job_name,run_id,description,log_file
sreeya12/OpenPDF,maven.yml,src/test/java/org/openpdf/text/pdf/fonts/FontTest.java,0,[ERROR] org.openpdf.text.pdf.fonts.FontTest.testFontStyleOfStyledFont(int)[2] -- Time elapsed: 0.014 s <<<,Q4,macOS,os-expansion-experiment,Build with Java 24,24641511120,Maven test failure,failure_logs\sreeya12__OpenPDF\run_24641511120_Build_with_Java_24.log
sreeya12/OpenPDF,maven.yml,unknown,0,Table 'OS/2' does not exist,Q4,macOS,os-expansion-experiment,Build with Java 24,24641511120,OS-specific resource,failure_logs\sreeya12__OpenPDF\run_24641511120_Build_with_Java_24.log
sreeya12/OpenPDF,maven.yml,unknown,0,"See dump files (if any exist) [date].dump, [date]-jvmRun[N].dump and [date].dumpstream.",Q6,macOS,os-expansion-experiment,Build with Java 24,24641511120,Generic Maven error,failure_logs\sreeya12__OpenPDF\run_24641511120_Build_with_Java_24.log
sreeya12/curator,ci.yml,unknown,0,docker: invalid reference format,Q5,Windows,os-expansion-experiment,Check (windows-latest),24653531444,Docker unavailable,failure_logs\sreeya12__curator\run_24653531444_Check__windows-latest_.log
sreeya12/curator,ci.yml,unknown,0,docker: command not found,Q5,macOS,os-expansion-experiment,Check (macos-latest),24653531444,Docker unavailable,failure_logs\sreeya12__curator\run_24653531444_Check__macos-latest_.log
sreeya12/curator,ci.yml,src/test/java/org/apache/curator/framework/imps/TestWatchesBuilder.java,0,[ERROR] org.apache.curator.framework.imps.TestWatchesBuilder.testGuaranteedRemoveWatch  Time elapsed: 40.947 s  <<<,Q4,Windows,os-expansion-experiment,"Unit tests (8, windows-latest)",24653531444,Maven test failure,failure_logs\sreeya12__curator\run_24653531444_Unit_tests__8__windows-latest_.log
sreeya12/curator,ci.yml,unknown,0,"Please refer to dump files (if any exist) [date].dump, [date]-jvmRun[N].dump and [date].dumpstream.",Q6,Windows,os-expansion-experiment,"Unit tests (8, windows-latest)",24653531444,Generic Maven error,failure_logs\sreeya12__curator\run_24653531444_Unit_tests__8__windows-latest_.log
sreeya12/jedis,unit-tests.yml,unknown,0,Container action is only supported on Linux,Q5,Windows,os-expansion-experiment,Unit Tests (windows-latest),24646664329,Docker unavailable,failure_logs\sreeya12__jedis\run_24646664329_Unit_Tests__windows-latest_.log
sreeya12/jedis,unit-tests.yml,.github/workflows/unit-tests.yml,0,"Unknown lifecycle phase "".dataFile",Q3,Windows,os-expansion-experiment,Unit Tests (windows-latest),24646664329,Maven argument parsing on Windows,failure_logs\sreeya12__jedis\run_24646664329_Unit_Tests__windows-latest_.log
sreeya12/jedis,unit-tests.yml,unknown,0,Container action is only supported on Linux,Q5,macOS,os-expansion-experiment,Unit Tests (macos-latest),24646664329,Docker unavailable,failure_logs\sreeya12__jedis\run_24646664329_Unit_Tests__macos-latest_.log
sreeya12/netty-socketio,build-pr.yml,.github/workflows/build-pr.yml,0,The term 'export' is not recognized,Q3,Windows,os-expansion-experiment,build (17) / build (windows-latest),25415788732,Shell incompatibility,failure_logs\sreeya12__netty-socketio\run_25415788732_build__17____build__windows-latest_.log
sreeya12/fesod,ci.yml,unknown,0,Container action is only supported on Linux,Q5,macOS,os-expansion-experiment,Test JDK 21,25357595126,Docker unavailable,failure_logs\sreeya12__fesod\run_25357595126_Test_JDK_21.log
sreeya12/fesod,ci.yml,unknown,0,Container action is only supported on Linux,Q5,Windows,os-expansion-experiment,Test JDK 11,25357595126,Docker unavailable,failure_logs\sreeya12__fesod\run_25357595126_Test_JDK_11.log
sreeya12/fesod,ci.yml,.github/workflows/ci.yml,0,"Unknown lifecycle phase "".test.skip",Q3,Windows,os-expansion-experiment,Test JDK 11,25357595126,Maven argument parsing on Windows,failure_logs\sreeya12__fesod\run_25357595126_Test_JDK_11.log
sreeya12/graphhopper,build.yml,src/test/java/com/graphhopper/storage/MMapDataAccessTest.java,0,[ERROR] com.graphhopper.storage.MMapDataAccessTest.testTrimToRoundsUpToSegmentBoundary -- Time elapsed: 0.009 s <<<,Q4,Windows,os-expansion-experiment,"build (26-ea, windows-latest)",25306744755,Maven test failure,failure_logs\sreeya12__graphhopper\run_25306744755_build__26-ea__windows-latest_.log
sreeya12/graphhopper,build.yml,unknown,0,"RAMDataAccessTest>DataAccessTest.setUp:48 ï¿½ IllegalState cannot delete folder .\target\tmp\da",Q6,Windows,os-expansion-experiment,"build (26-ea, windows-latest)",25306744755,Generic Maven error,failure_logs\sreeya12__graphhopper\run_25306744755_build__26-ea__windows-latest_.log
sreeya12/jjwt,ci.yml,.github/workflows/ci.yml,0,get: command not found,Q3,macOS,os-expansion-experiment,jdk-17-oracle,25356383531,Shell incompatibility,failure_logs\sreeya12__jjwt\run_25356383531_jdk-17-oracle.log
sreeya12/jjwt,ci.yml,.github/workflows/ci.yml,0,The term 'sudo' is not recognized,Q3,Windows,os-expansion-experiment,code-coverage (windows-latest),25356383531,Shell incompatibility,failure_logs\sreeya12__jjwt\run_25356383531_code-coverage__windows-latest_.log
